index,about_name,about_readlink,image_url,image_width,image_height,provider_type,provider_name,category,name,date_published,description,url
1,Microsoft,https://api.cognitive.microsoft.com/api/v5/entities/a093e9b9-90f5-a3d5-c4b8-5855e1b01f85,https://www.bing.com/th?id=ON.CDA073E856C66C1FE63F2FB07CCC9F28&pid=News,700,525,Organization,The Business Insider,ScienceAndTechnology,"The first time Microsoft engineers tried to use their own cloud, they failed",2016-12-12T23:46:00,"Microsoft is widely considered to be the No. 2 biggest cloud computing company. Its Azure cloud platform is chasing the 800-pound gorilla in the market, Amazon Web Services. Microsoft doesn't transparently report its cloud revenues, particularly Azure.",http://www.businessinsider.com/the-first-time-microsoft-engineers-tried-to-use-its-cloud-they-failed-2016-12
2,NULL,NULL,https://www.bing.com/th?id=ON.683D26EA556482DE4E3BA0DD6F231485&pid=News,640,427,Organization,Digital Trends,ScienceAndTechnology,Android device users get a new GIF-making option with the Gfycat Loops app,2016-12-12T23:41:00,"If you\u2019ve been on the internet long, you\u2019re likely familiar with GIFs. An acronym for the abstruse Graphics Interchange Format, they\u2019re animated, looping images which feature cute animals and death-defying stunts in equal measure. They\u2019re tailor ...",http://www.digitaltrends.com/android/gyfcat-loops-android/
3,Russia,https://api.cognitive.microsoft.com/api/v5/entities/ed4fce79-8ad4-352b-205b-e4db36c49bbe,https://www.bing.com/th?id=ON.F5D952545B92A6BCF96CC028FF0F5C9A&pid=News,620,350,Organization,CBS News,Technology,"For unlikely tech hub in Russia, recession pays off",2016-12-12T23:34:00,"Software developer Ivan Grishaev and other programmers from Deep Refactoring work at their office in Voronezh, Russia, Nov. 24, 2016. VORONEZH, Russia --Russia\u2019s economy is in a quagmire thanks to sanctions and low oil prices, but it\u2019s a boom time for ...",http://www.cbsnews.com/news/unlikely-tech-hub-in-russia-recession-pays-off/
4,iTunes,https://api.cognitive.microsoft.com/api/v5/entities/6ef01e3b-7c0e-d8ab-ab9e-72c646bf21a3,https://www.bing.com/th?id=ON.CBB28CB1339B58E0C9F4E8DD35A31FDF&pid=News,660,243,Organization,Apple Insider,Technology,"Apple iTunes Store, App Stores inaccessible to some customers [u]",2016-12-12T23:43:00,"Apple's various online storefronts were hit with an apparent service outage on Monday, with affected users unable to purchase music, movies, apps and other media since approximately 12:15 p.m. Pacific. Apple acknowledged the downtime via its System Status ...",http://appleinsider.com/articles/16/12/12/apple-itunes-store-app-store-inaccessible-to-some-customers
5,Hawaii,https://api.cognitive.microsoft.com/api/v5/entities/b6f01eaf-aecf-44f6-b64d-1f6e982365c3,https://www.bing.com/th?id=ON.F3109D3F07150924ADA96558E96FFB93&pid=News,700,525,Organization,The Business Insider,Technology,"This startup is growing so fast, the CEO just took the entire company's employees and their families to Hawaii",12/13/2016,"Cohesity CEO Mohit Aron (in blue tie-dye), and some engineering employees plus a family member on a celebratory trip in Hawaii. Cohesity Cohesity is a storage startup that emerged from stealth just a year ago. It was founded by Mohit Aron, the cofounder ...",http://www.businessinsider.com/cohesity-ceo-took-entire-company-and-their-families-to-hawaii-2016-12
6,Comcast,https://api.cognitive.microsoft.com/api/v5/entities/5c3e4efd-192c-2531-845f-440a7b7f44f9,https://www.bing.com/th?id=ON.C3AEFE1CBE6BB25EB1F8024F0C8CD7F0&pid=News,700,466,Organization,Yahoo News,ScienceAndTechnology,Comcast is hiking fees that shouldn\u2019t exist in the first place,2016-12-12T23:37:00,"Death, taxes, and cable internet fees going up: the modern-day things that you can guarantee will always happen. As DSLReports has noted, Comcast will be increasing its fees for TV and broadband starting January 1st. The price increases are by as much as 3 ...",https://www.yahoo.com/news/comcast-hiking-fees-shouldn-t-exist-first-place-215313454.html%3fref%3dgs
7,Timeline,https://api.cognitive.microsoft.com/api/v5/entities/bc957fd4-ee8f-49f3-b1d1-bef44c0c4274,https://www.bing.com/th?id=ON.B751F24D8A0259E370A1128F92B89BBF&pid=News,700,466,Organization,The Wall Street Journal Blogs,Technology,Timeline: How India\u2019s Offensive Against Cash Unfolded,2016-12-12T23:34:00,"A month ago, India asked more than 1.2 billion people to turn out their pockets and turn in their old bank notes, all in an effort to stamp out corruption and tax evasion. A colossal undertaking by any standard, the experiment has unfolded in ways that few ...",http://blogs.wsj.com/indiarealtime/2016/12/12/timeline-how-indias-war-on-cash-unfolded/
8,Donald Trump,https://api.cognitive.microsoft.com/api/v5/entities/1a466af2-ed23-25bd-794d-1ca925e4681b,https://www.bing.com/th?id=ON.48408E5C27DAB2FFB2E6F02A51F5718B&pid=News,534,401,Organization,USA Today,ScienceAndTechnology,"Yes, Donald Trump, you can catch hackers not in the act",2016-12-12T23:25:00,"Donald Trump appeared on Fox News Sunday to discuss the CIA claims of Russian hacking, his call with Taiwan and his stance on daily intelligence briefings. Time SAN FRANCISCO \u2014 Cybersecurity professionals respectfully disagree, President-elect Trump ...",http://www.usatoday.com/story/tech/news/2016/12/12/trump-election-russia-interference-hacking-mock-twitter-tweet/95332544/
9,Mobile,https://api.cognitive.microsoft.com/api/v5/entities/db8eda49-92ee-4c52-8d4a-c20bd372570e,https://www.bing.com/th?id=ON.4B48747862BED4A8883AEDF7829D53A3&pid=News,700,350,Organization,VentureBeat,Technology,"Google acquires smartwatch OS startup Cronologics, will work on Android Wear",2016-12-12T23:20:00,"Google has acquired the team behind Cronologics, a startup looking to develop what it hoped would be the smartwatch platform in the marketplace. Terms of the deal were not disclosed, but the Cronologics team will be joining the Android Wear division.",http://venturebeat.com/2016/12/12/google-acquires-smartwatch-os-startup-cronologics-will-work-on-android-wear/
10,Donald Trump,https://api.cognitive.microsoft.com/api/v5/entities/1a466af2-ed23-25bd-794d-1ca925e4681b,https://www.bing.com/th?id=ON.E09B433D4E60B211CAB087031D1A44DA&pid=News,700,474,Organization,Network World,ScienceAndTechnology,5 core topics Trump needs to address in Silicon Valley leaders meeting,2016-12-12T23:22:00,"As some of the tech sector\u2019s heaviest hitters prep for a meeting this week with president-elect Donald Trump, they need to make sure they get answers to critical questions about issues that could affect not only their businesses but the U.S. economy in ...",http://www.networkworld.com/article/3149563/security/5-core-topics-trump-needs-to-address-in-silicon-valley-leaders-meeting.html
11,Microsoft,https://api.cognitive.microsoft.com/api/v5/entities/a093e9b9-90f5-a3d5-c4b8-5855e1b01f85,https://www.bing.com/th?id=ON.BC8A3F910973B69067928C8149C4C436&pid=News,580,556,Organization,PC World,Technology,"Microsoft: Don't worry, MS-DOS will live on after all",2016-12-12T23:51:00,"It sure looked like Microsoft was putting MS-DOS out to pasture. Now it\u2019s saying that the MS-DOS command prompt cmd will continue to live on. According to a Microsoft spokesperson, \u201cMicrosoft is not removing Cmd from Windows, but rather changing the ...",http://www.pcworld.com/article/3149586/operating-systems/follow-up-ms-dos-lives-on-after-all.html
12,Sheryl Sandberg,https://api.cognitive.microsoft.com/api/v5/entities/621b1676-95f1-5011-b58b-9614581f095e,https://www.bing.com/th?id=ON.E6D0E44B045573A5D8F13B3B77BFF785&pid=News,640,438,Organization,bloomberg.com,ScienceAndTechnology,"Bezos, Sandberg, Musk Said to Be Attending Trump Tech Summit",2016-12-12T23:17:00,"Amazon.com Inc. Chief Executive Officer Jeff Bezos and Tesla Motors Inc. CEO Elon Musk will be among those attending President-elect Donald Trump\u2019s gathering of technology industry leaders Wednesday in New York, people familiar with the matter said.",https://www.bloomberg.com/news/articles/2016-12-12/bezos-sandberg-said-to-be-attending-trump-technology-summit
13,Google,https://api.cognitive.microsoft.com/api/v5/entities/f39b29ec-05ee-d6cb-3070-ddaa0fb00ee0,https://www.bing.com/th?id=ON.DCBDC4642FB6C0D6B420A9B7143219EB&pid=News,700,367,Organization,USA Today,ScienceAndTechnology,Netflix VR comes to Google Daydream,2016-12-12T23:25:00,"Tech columnist Jennifer Jolly breaks down the best virtual reality headsets in time for the holidays. Netflix is expanding its virtual reality footprint. The streaming TV company, which landed its VR app on Samsung's Gear VR last year, now has its app ...",http://www.usatoday.com/story/tech/news/2016/12/12/netflix-vr-comes-google-daydream/95337184/
14,iCloud,https://api.cognitive.microsoft.com/api/v5/entities/e304a425-7bde-24eb-d29c-98e37590a24c,https://www.bing.com/th?id=ON.58596D55F615154F5F355830679D3D14&pid=News,700,473,Organization,ZDNet,ScienceAndTechnology,Apple rolls out 'Report Junk' feature to deal with iCloud spam,2016-12-12T23:20:00,"Some Apple users were hit with ad-based spam notifications in the Calendar app. Apple is finally addressing the recent iCloud Calendar spam issues with the rollout of a new Report Junk feature on the Calendar web app. Over the last several weeks, some ...",http://www.zdnet.com/article/apple-rolls-out-report-junk-feature-to-deal-with-icloud-spam-inbox-x/
15,Google,https://api.cognitive.microsoft.com/api/v5/entities/f39b29ec-05ee-d6cb-3070-ddaa0fb00ee0,https://www.bing.com/th?id=ON.84361558F6F57E91C08CA6359020225D&pid=News,512,319,Organization,San Jose Mercury News,ScienceAndTechnology,Biz Break: Google serves up tech for better service in Cuba,2016-12-12T23:36:00,"Google speeds up services for Cubans: This has been a busy year for Cuba. In March, President Barack Obama became the first sitting U.S. president to visit the island nation in 88 years. Only a few weeks ago, American airlines began direct flights from the ...",http://www.mercurynews.com/2016/12/12/biz-break-google-serves-up-tech-for-better-service-in-cuba/
16,Uncharted,https://api.cognitive.microsoft.com/api/v5/entities/134ef2f5-7900-3b2f-6acc-9aa054c5f532,https://www.bing.com/th?id=ON.6A9F017B5D4B0B6BB87D0938800909C5&pid=News,180,101,Organization,BGR,ScienceAndTechnology,Black Friday pricing is back for the PS4 Uncharted 4 bundle,2016-12-12T23:32:00,"Gamers who have been searching for a new console and missed out on all of the Black Friday sales have undoubtedly been kicking themselves ever since. There were so many great deals during Black Friday week, and some of them even extended through Cyber ...",http://bgr.com/2016/12/12/ps4-uncharted-4-bundle-amazon-sale/
17,Warframe,https://api.cognitive.microsoft.com/api/v5/entities/87915835-eb61-41ff-bbc5-094ab6af78b9,https://www.bing.com/th?id=ON.C14967C68933CE3C30DE8C27A496F9FF&pid=News,700,393,Organization,VentureBeat,ScienceAndTechnology,Warframe\u2019s biggest update of the year comes to PlayStation 4 and Xbox One,2016-12-12T21:23:00,"One of the best free-to-play games on consoles is getting new content today. Warframe developer and publisher Digital Extremes announced today that The War Within, the biggest update of the year for its cooperative shooter, is out now for PlayStation 4 and ...",http://venturebeat.com/2016/12/12/warframes-biggest-update-of-the-year-comes-to-playstation-4-and-xbox-one/
18,Apple Inc.,https://api.cognitive.microsoft.com/api/v5/entities/6fa57c29-e813-4a1d-7fba-3541ca4c1dc3,https://www.bing.com/th?id=ON.25B448F0819186CEF7F536826AF31A60&pid=News,700,497,Organization,Yahoo News,ScienceAndTechnology,Apple\u2019s AirPods might finally hit store shelves in a few days,2016-12-12T23:49:00,"The AirPods were supposed to launch in late October, but for reasons that aren\u2019t entirely clear, we still haven\u2019t heard a peep from Apple as to when the company\u2019s new wireless headphones might hit stores shelves. Aside from a vaguely worded statement ...",https://www.yahoo.com/tech/apple-airpods-might-finally-hit-store-shelves-few-233625345.html
